Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1624820,Whitehall Exxon,634 Whitehall St SW,,Atlanta,GA,30310,1922,FULTON,Convenience Store,33.74176,-84.4086,,,-9396322.37057311,3994179.1882414846
1625705,West View Food Mart,2053 Martin Luther King Jr Dr SW,,Atlanta,GA,30310,1165,FULTON,Convenience Store,33.750313,-84.453651,,,-9401337.424952839,3995324.235021253
1631630,Intown Market,349 Decatur St Se,Ste N,Atlanta,GA,30312,4001,FULTON,Convenience Store,33.749596,-84.378281,,,-9392947.274931751,3995228.2410951187
1640526,Westside Growers Market,460 James P Brawley Dr NW,,Atlanta,GA,30318,6802,FULTON,Farmers and Markets,33.767212,-84.41288,,,-9396798.817993708,3997586.95194517
1640933,Whitehall Shell,490 Whitehall St SW,,Atlanta,GA,30303,3710,FULTON,Convenience Store,33.743397,-84.403351,,,-9395738.054565936,3994398.335441608
1641382,Texaco Food Mart,29 Moreland Ave SE,,Atlanta,GA,30316,1333,FULTON,Convenience Store,33.752747,-84.349693,,,-9389764.873328952,3995650.111603298
1641550,Shoppers Supermarket,735 Joseph E Boone Blvd NW,,Atlanta,GA,30314,3835,FULTON,Convenience Store,33.763489,-84.411499,,,-9396645.085776921,3997088.4169676653
1646068,Hill Street Shell,387 Hill St SE,,Atlanta,GA,30312,2162,FULTON,Convenience Store,33.744404,-84.379753,,,-9393111.137222197,3994533.1458459618
1647378,Discount Food Mart,12 Atlanta Ave SW,,Atlanta,GA,30315,1702,FULTON,Convenience Store,33.730339,-84.388321,,,-9394064.922619315,3992650.3613059153
1649203,Moreland Food Mart,372 Moreland Ave NE,,Atlanta,GA,30307,1927,FULTON,Convenience Store,33.764542,-84.349564,,,-9389750.51311464,3997229.4186205785
1650758,Grant Park Market,519 Memorial Dr Se,Unit A4,Atlanta,GA,30312,2288,FULTON,Other,33.746155,-84.370827,,,-9392117.499447377,3994767.5617480897
1652478,Tech Shop & Run,800 Marietta St Nw,Ste D,Atlanta,GA,30318,    ,FULTON,Convenience Store,33.773811,-84.405762,,,-9396006.44585824,3998470.65607213
1654898,Food N Fun,785 Lee St SW,,Atlanta,GA,30310,2762,FULTON,Convenience Store,33.733585,-84.41449,,,-9396978.042373883,3993084.853540467
1658335,Goodr Community Market On Edgewood,381 Edgewood Ave SE,,Atlanta,GA,30312,1839,FULTON,Convenience Store,33.754196,-84.375008,,,-9392582.926238384,3995844.1156541314
1664222,East Atlanta Village Farmers Market 0135438,572 Stokeswood Ave SE,,Atlanta,GA,30316,2016,DEKALB,Farmers and Markets,33.738602,-84.34465,,,-9389203.489136882,3993756.434719873
1665506,Circle K #185,350 Moreland Ave NE,,Atlanta,GA,30307,1927,FULTON,Convenience Store,33.763779,-84.349709,,,-9389766.654440805,3997127.249158859
1666185,Ez Market,516 Lee St SW,,Atlanta,GA,30310,1904,FULTON,Convenience Store,33.740879,-84.41346,,,-9396863.383298367,3994061.2494207886
1672463,Azalea Fresh Market,25 Peachtree St Nw,,Atlanta,GA,30303,3104,FULTON,Supermarket,33.754326,-84.389328,,,-9394177.021346545,3995861.521284808
1673195,BP Food Mart,120 Piedmont Ave NE,,Atlanta,GA,30303,2445,FULTON,Convenience Store,33.757477,-84.382622,,,-9393430.512841284,3996283.4150674846
1673384,Food Mart,1570 Ralph David Abernathy Blvd SW,,Atlanta,GA,30310,1253,FULTON,Convenience Store,33.744061,-84.438965,,,-9399702.586911049,3994487.2271292945
1673463,Lidl 1584,1090 Northside Dr NW,,Atlanta,GA,30318,5427,FULTON,Super Store,33.784237,-84.407829,,,-9396236.54324571,3999866.991090609
1677597,Best4less Goods Food Mart,1575 Joseph E Boone Blvd Nw,Ste C,Atlanta,GA,30314,2056,FULTON,Convenience Store,33.76392,-84.439293,,,-9399739.099704029,3997146.1296854983
1685306,Walmart 7601,835 Martin Luther King Jr Dr NW,,Atlanta,GA,30314,3644,FULTON,Super Store,33.755825,-84.413589,,,-9396877.74351268,3996062.223502185
1689122,BP Food Mart,120 Piedmont Ave NE,,Atlanta,GA,30303,2445,FULTON,Convenience Store,33.757477,-84.382622,,,-9393430.512841284,3996283.4150674846
